,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.4324646531965497,0.5621398145216254,-0.41668560788704756,0.004218119241620855,0.0778362191411151,0.472344199343133,0.21557544737574547,-0.021590813588429625,-0.08801713093176353,-0.0032834963017350158,-0.004886225761763063,-0.013087874495045726,-0.0004835177463897722,0.0008038826729022674,-0.00103152815186755,-0.0058299504797119095,0.01260512161330038,0.006322477337774024,0.008886661093665621,0.007100279287879541
1,-1.1249652845599654,0.578342771222534,-0.7338112174878377,0.1232319164691762,0.0940753774958692,0.3683466828944879,0.20556406655151266,-0.007007963508402326,-0.060098132837104384,0.004188115834276342,-0.007058020715884072,0.00033229689191083267,-0.010845278047025841,-0.006486833756775348,-0.003322512895104532,-0.005712567702714694,0.011390298468758386,-0.008645584818846197,0.0183596840100497,0.0022165060801020986
2,-0.9356108277222948,1.0863565871967467,0.3535398741851177,0.21687964049051756,0.5523871301358961,0.3495139669200098,-0.015396967467326106,0.030208931595009147,-0.06213437994060997,-0.0385018645984983,0.04563090714604645,0.06720784454305362,0.032533730805472894,0.008247834352813344,0.05138683782384745,-0.03749902900411978,-0.004039193805959351,0.015206558507440043,-0.012941641589428843,0.011264286230353415
3,-0.9684292293341041,1.034990972480415,0.16163647307015339,0.19452470155641288,0.5036388455909547,0.3155434420802752,-0.004170138313037142,0.04301092184711808,-0.08941594286030599,-0.01863310155888867,0.04500223799797598,0.049952738322897094,0.02863611991926271,0.013276442713391082,0.05203097674890339,-0.03650836269755353,-0.004722523076204174,0.0177339055653242,-0.0001833269233996737,0.011498877900688986
4,-0.6537272447806775,1.2757660018029746,0.46034998435702335,0.2988156642840689,0.5948469547156275,0.3575176022698616,-0.005762329430225699,0.027873129773837935,-0.03315075212098942,-0.03473582156315355,0.06076054885670645,0.07254915906650061,0.032250494858189455,0.007353995544426235,0.04906698574986629,-0.04169260722611695,-0.01111392799696484,0.010394177191114573,-0.00831780681518926,0.0053340504076268835
5,0.8311972417522302,1.9913382544437024,0.7950275772052873,0.5926574247264806,0.364707340871222,0.35107658659968255,-0.02302699557423754,0.028939758306776864,-0.03486626691772701,0.015199473527975571,0.0796997344313064,0.05589135139007406,0.033417062554264354,-0.003868236958052086,0.07790060466988918,-0.03617365201844294,-0.017534718708499722,-0.016828193649381706,-0.009838734224873691,0.014839809311401969
6,-1.2928338427143187,0.5299630533565836,-0.6516354509472979,0.04680966069450232,0.050344833382280865,0.3893575415447432,0.20677060447703327,-0.00763024980999516,-0.0721981477948486,0.005095066332496442,-0.005838341289060189,-0.011112264564490437,-0.0033314598712496646,-0.006433255897165563,-0.0033133871753147914,-0.0005291465809872109,0.010318571132136939,-0.0029841120722688963,0.010629623139388256,0.00806138968692463
7,-1.3211694828870861,0.5178902031713868,-0.5910524701691857,0.04121275550434644,0.08364382001652049,0.44217751408748707,0.23896378546799213,-0.014083157209265895,-0.07311474820791378,0.012217915419116272,-0.00728850470568021,-0.012772633873992523,-0.007195242254420087,-0.0019336781673138168,-0.003535160600436696,-0.01214195572173582,0.009620778600201746,0.004857937031951753,0.015837158861923106,0.01092370006380311
8,-1.4055414243921946,0.6478430829462578,-0.25229325583798623,0.08537162761501893,0.2362562383377858,0.5653853473718014,0.23613585164727297,-0.030095847996874425,-0.0742056672509099,-0.011958123143298194,-0.00549424910697871,0.0059984922989985145,-0.005091855001167517,-0.0007841983057385905,-0.015923946345795623,0.00986412437490436,0.010553185096645018,0.00023414805379415315,0.018963236464787897,0.012013072288723031
9,-1.2442520934350076,0.6175495419654933,-0.4477922174937907,0.043575245962634845,0.10763280266293837,0.408215803412169,0.22073877462220154,-0.005950637575049822,-0.05933681336227878,-0.0022344460442278585,-0.0023876005410256584,-0.010167805510421568,-0.005209524271588273,-0.003110263547599988,-0.0058508380052158665,-0.0005638419320088961,0.005591561859666694,-0.00248288450296949,0.013452155905828628,0.01472274498291204
