,,brown_algae,red_veg,green_veg,mineral,water
test,R2,-0.04619160065960193,-0.07501909170171395,-0.15836731093484357,-25.035981737751854,0.05513047371612345
test,MSE,0.14319601997651374,0.07634706482952958,0.025419602516090177,0.022802546456667114,0.0977556129578927
test,RMSE,0.3784124997625128,0.27630972626661116,0.15943526120683021,0.15100512063061675,0.31265894031339114
test,MAE,0.3240260725887799,0.21359126517868723,0.143138469702015,0.14885245074889145,0.24245800859977001
test,MAPE,103.78249406876914,72.40880870059128,81.44525792750119,212.7237266843188,2635.909220065225
train,R2,0.027487116075571527,0.005862962395207005,0.021401627847463578,0.014259290402754532,0.14555263137731667
train,MSE,0.08412323590136409,0.05752869124402259,0.07643624052927775,0.08175562699169697,0.06970066831267223
train,RMSE,0.2900400591321207,0.2398513940839673,0.27647104826595814,0.28592940910598363,0.26400884135322483
train,MAE,0.24240973160747245,0.18003718302998656,0.2093418621156412,0.21570923794672572,0.21119554741102803
train,MAPE,103.78249406876914,72.40880870059128,81.44525792750119,212.7237266843188,2635.909220065225
cv,R2,-0.005750613792947767,-0.30220823075906283,-0.21897976517224543,-0.24501448316640467,-0.0630700325706584
cv,MSE,0.08670003543047419,0.05922177946904705,0.07987744854379071,0.08595924313659166,0.08325213927190912
cv,RMSE,0.29129349907868834,0.23848994430647724,0.2767671226952905,0.2845939897072348,0.284575945859406
cv,MAE,0.24724486070389973,0.18292147974371706,0.21713799222879668,0.2223746936803785,0.23480973721658657
cv,MAPE,267.70532077240375,581.476888169351,511.31835254072195,7168.8692852655395,9260.563946967983
