,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
0,asd,asd,asd,asd,asd,dov,dov,dov,dov,dov,lan,lan,lan,lan,lan,sen,sen,sen,sen,sen,sky,sky,sky,sky,sky,sup,sup,sup,sup,sup
1,5.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
2,0.7376068376068374,0.8113675213675213,0.7811111111111111,0.8835042735042735,0.8456410256410258,0.6654700854700856,0.8167521367521369,0.8484615384615384,0.9026495726495728,0.8203418803418804,0.7503418803418803,0.808974358974359,0.7779487179487178,0.8972649572649576,0.7382051282051282,0.6458119658119658,0.8188034188034188,0.7929059829059831,0.9070940170940173,0.7532478632478633,0.7026495726495726,0.8122222222222223,0.7971794871794871,0.9148717948717949,0.7467521367521367,0.713931623931624,0.8146153846153849,0.8053846153846155,0.9173504273504274,0.7426495726495728
3,0.7489743589743589,0.8255555555555556,0.7884615384615384,0.9294017094017094,0.8592307692307694,10000.0,0.8576923076923079,10000.0,0.9335042735042736,10000.0,0.7726495726495726,0.8417948717948718,0.8211111111111111,0.9129914529914531,0.7815384615384613,0.6945299145299146,0.8387179487179488,0.8166666666666669,0.9283760683760685,0.7929914529914531,10000.0,0.8437606837606837,0.8245299145299144,0.9205982905982906,0.7941880341880341,0.7620512820512819,0.8482905982905983,0.8357264957264958,0.9287179487179489,0.788119658119658
