Wavelength,Coastal Aerosol,Blue,Green,Red,NIR,Pan,Cirrus,SWIR1,SWIR2
394,1.38637E-10,5.68591E-10,2.52428E-10,4.41336E-11,1.58962E-10,6.46285E-11,0.000E+00,0.000E+00,0.000E+00
395,3.60936E-10,8.68129E-10,3.99934E-10,4.70465E-11,2.42207E-10,7.65136E-11,0.000E+00,0.000E+00,0.000E+00
396,1.00836E-09,1.10374E-09,1.59019E-09,2.29862E-11,1.11613E-09,1.95623E-10,0.000E+00,0.000E+00,0.000E+00
397,1.87943E-09,1.58742E-09,5.79221E-09,1.11693E-10,2.21113E-10,1.04892E-10,0.000E+00,0.000E+00,0.000E+00
398,5.52726E-09,2.46843E-09,9.84863E-09,5.25605E-10,1.33056E-08,3.64149E-10,0.000E+00,0.000E+00,0.000E+00
399,1.20067E-08,3.81551E-09,3.72191E-09,7.30441E-10,5.48748E-08,6.11792E-11,0.000E+00,0.000E+00,0.000E+00
400,1.70896E-08,5.94149E-09,1.37561E-09,2.99039E-10,3.52158E-08,1.20974E-09,0.000E+00,0.000E+00,0.000E+00
401,2.07697E-08,9.75819E-09,1.56798E-09,5.24232E-10,4.19937E-08,6.60467E-09,0.000E+00,0.000E+00,0.000E+00
402,1.8493E-08,1.80724E-08,2.46619E-09,2.30321E-09,2.91102E-08,3.32122E-08,0.000E+00,0.000E+00,0.000E+00
403,1.91456E-08,3.21977E-08,4.46366E-09,6.70354E-09,1.09836E-08,8.00098E-08,0.000E+00,0.000E+00,0.000E+00
404,2.47437E-08,6.38835E-08,4.01062E-09,8.52137E-09,8.48967E-09,5.37955E-08,0.000E+00,0.000E+00,0.000E+00
405,3.71262E-08,1.27258E-07,7.63663E-09,8.7055E-09,2.67611E-08,3.00788E-08,0.000E+00,0.000E+00,0.000E+00
406,4.7505E-08,2.51843E-07,1.5296E-08,1.79349E-08,5.93062E-08,2.66754E-08,0.000E+00,0.000E+00,0.000E+00
407,6.82293E-08,4.8977E-07,4.35208E-08,4.32272E-08,1.24415E-07,4.79316E-08,0.000E+00,0.000E+00,0.000E+00
