,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263
0,461,462,463,464,465,467,468,469,471,473,474,475,476,477,478,479,480,481,482,484,486,487,488,489,490,491,492,493,494,498,499,500,502,503,505,506,507,517,520,523,524,530,534,551,556,557,560,563,565,568,573,574,575,576,577,578,579,580,581,583,584,585,586,587,588,589,592,596,598,599,600,601,603,604,607,609,615,616,619,620,621,622,623,625,626,627,628,629,630,632,633,634,635,636,637,638,640,641,643,644,645,646,647,648,649,651,653,658,665,668,669,670,671,672,673,674,676,677,678,685,686,688,705,708,713,716,727,729,730,734,736,737,744,745,746,747,748,749,750,752,770,771,772,775,776,778,781,782,784,787,788,789,790,792,793,795,797,800,801,805,808,809,810,811,812,815,817,818,819,821,822,823,824,825,826,828,830,831,832,833,834,835,836,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,859,860,861,862,863,864,865,866,868,869,870,871,872,873,874,875,876,877,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924
1,1,5,4,2,3,2,3,3,1,3,2,1,1,7,5,2,1,1,1,2,2,2,1,2,3,2,5,3,1,4,3,3,1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,4,1,2,1,3,1,5,2,5,1,3,2,1,2,4,9,6,5,1,1,3,1,2,1,1,1,1,1,1,1,3,4,4,6,1,3,3,3,1,4,2,2,1,3,1,5,4,6,6,2,1,2,1,1,2,2,4,5,5,3,5,2,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,1,2,3,1,2,3,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,3,1,3,1,2,4,2,2,3,4,2,2,4,8,1,3,2,3,2,1,2,5,3,4,5,2,7,3,5,4,7,2,5,3,5,5,7,6,6,6,7,3,6,4,9,4,5,7,7,4,12,2,10,9,5,5,7,2,6,4,8,6,11,5,11,2,6,5,1
